1.062   0.
1.066   4.07068E-04
1.070   1.54293E-03
1.075   2.67013E-03
1.078   5.50643E-03
1.082   1.22532E-02
1.084   2.02928E-02
1.087   3.06470E-02
1.089   4.05135E-02
1.093   5.15324E-02
1.096   5.63529E-02
1.102   7.18073E-02
1.105   0.273603
1.107   0.340997
1.109   0.358446
1.112   0.380134
1.116   0.330668
1.117   0.239548
1.120   0.250062
1.123   0.283301
1.128   0.258233
1.129   0.251474
1.132   0.538119
1.134   0.223168
1.138   0.536893
1.140   0.110203
1.143   0.529207
1.147   0.261940
1.154   0.320155
1.159   0.174300
1.164   0.607031
1.167   0.617933
1.170   0.676289
1.173   0.727940
1.175   0.746531
1.179   0.830404
1.182   0.790307
1.186   0.809605
1.188   0.836888
1.192   0.835984
1.195   0.749936
1.199   0.708013
1.202   0.698759
1.209   0.704854
1.216   0.700382
1.221   0.732765
1.227   0.705725
1.231   0.842431
1.236   0.921873
1.240   0.952505
1.244   0.967585
1.247   0.959508
1.253   0.922697
1.255   0.892978
1.258   0.852943
1.260   0.802308
1.265   0.750078
1.270   0.678072
1.275   0.652417
1.279   0.638754
1.286   0.642413
1.292   0.648560
1.297   0.682380
1.302   0.752903
1.305   0.775942
1.307   0.811828
1.310   0.777008
1.313   0.721030
1.316   0.952459
1.319   0.855137
1.323   0.841401
1.326   1.00000
1.330   0.894736
1.333   0.854912
1.334   0.537894
1.336   0.279866
1.339   0.906532
1.343   0.689345
1.346   0.553327
1.349   0.243177
1.353   1.43760E-02
1.355   1.89290E-04
1.360   4.00791E-02
1.363   4.53595E-03
1.370   3.19968E-04
1.373   3.72168E-02
1.377   5.38436E-04
1.383   0.
1.388   1.44443E-04
1.392   3.29774E-03
1.395   3.14438E-04
1.396   8.47738E-03
1.397   2.53731E-02
1.398   0.118446
1.400   1.35728E-04
1.401   6.10438E-05
1.402   5.21326E-02
1.404   1.03768E-02
1.406   4.78050E-02
1.407   4.19727E-04
1.410   2.36641E-03
1.412   5.26108E-03
1.416   8.64765E-03
1.421   7.28868E-04
1.426   3.48399E-04
1.442   3.78145E-04
1.450   0.
