microns throughput
2.0004663860000003 1.4389100845839458e-15
2.002074478 9.409443264287796e-16
2.00368257 6.543615717901938e-16
2.005290662 4.071358224180224e-16
2.006898754 3.3466468749567635e-16
2.008506846 3.5963256482697334e-16
2.010114938 1.8229372694679368e-16
2.01172303 3.608088680200638e-17
2.013331122 1.7616612461241436e-17
2.014939214 5.883316577814239e-17
2.016547306 7.660860555410601e-17
2.018155398 1.9145469922398597e-17
2.01976349 1.944339043651181e-17
2.021371582 6.967849049641957e-17
2.022979674 9.422623474122275e-17
2.0245877660000002 6.584466943793766e-17
2.026195858 3.0625063204229226e-17
2.027803949 2.0467751673833275e-17
2.029412041 9.07877460349508e-18
2.031020133 7.737077660190505e-18
2.032628225 5.602172148673491e-18
2.034236317 9.531681256421892e-18
2.035844409 1.2406341979717155e-18
2.037452501 3.781378295007494e-18
2.039060593 1.2895407750339515e-18
2.040668685 1.6773354121604967e-19
2.042276777 7.431108895245586e-19
2.0438848689999998 1.3910449899861396e-17
2.045492961 2.6125791454301156e-17
2.047101053 3.116114907680634e-17
2.0487091449999997 5.083142745005086e-17
2.0503172370000002 8.062660253119396e-17
2.0519253290000004 1.612258157309065e-17
2.053533421 3.7898206209492746e-18
2.055141513 1.7879384163877082e-18
2.056749605 2.0613325653757204e-18
2.058357697 5.606071929493573e-19
2.059965788 5.787147752794694e-20
2.06157388 9.545409618450745e-20
2.0631819719999998 2.0715813193671857e-18
2.064790064 2.081491527012415e-18
2.066398156 3.011993476133795e-18
2.068006248 4.955391322410987e-18
2.06961434 8.6517303243526e-18
2.071222432 4.887805559646916e-17
2.072830524 5.262070465044575e-17
2.074438616 3.779777970482702e-17
2.076046708 1.9279520291013255e-17
2.0776548 1.7585076817618494e-17
2.079262892 2.336098075550417e-17
2.080870984 2.0126646930961342e-17
2.0824790760000003 8.964869898255041e-19
2.084087168 1.608931950281472e-19
2.08569526 1.6544591507551764e-18
2.0873033519999997 6.137733368189081e-17
2.088911444 2.1567221880002203e-18
2.090519536 2.671769378880298e-19
2.092127627 2.583331663251558e-18
2.0937357189999997 1.0684702989067781e-16
2.0953438110000002 6.422694691870917e-17
2.0969519030000003 1.6256496260899922e-16
2.098559995 1.5983996953579624e-16
2.100168087 9.202601242306143e-17
2.101776179 4.538069268287801e-17
2.103384271 2.5161506942941916e-16
2.104992363 1.1331171326072219e-16
2.1066004549999997 1.675843758087606e-17
2.1082085470000003 5.340199646059104e-17
2.109816639 2.3609306475010257e-16
2.111424731 6.846601835502694e-16
2.113032823 2.2444259331236087e-17
2.114640915 2.4903123741803097e-18
2.116249007 4.834856979070786e-18
2.1178570989999996 1.0810228624877922e-17
