microns throughput
2.0004663860000003 8.067207004922973e-15
2.002074478 1.4565999487228407e-13
2.00368257 1.392318080970679e-12
2.005290662 1.4722469590399075e-12
2.006898754 1.8085917331039214e-12
2.008506846 1.80453215949965e-12
2.010114938 1.3659835763072966e-12
2.01172303 6.975747750499321e-13
2.013331122 2.480409569850725e-13
2.014939214 1.03021635578711e-13
2.016547306 8.819608100026938e-14
2.018155398 2.244028483684475e-13
2.01976349 4.4369390332945445e-13
2.021371582 3.213240189241882e-13
2.022979674 3.115328462636772e-13
2.0245877660000002 4.5198523125449623e-13
2.026195858 1.26577340178826e-13
2.027803949 1.8889386453061276e-14
2.029412041 3.2971479840705086e-14
2.031020133 2.4418719877001887e-13
2.032628225 4.345767338929721e-13
2.034236317 4.5437997565673613e-13
2.035844409 5.703100770734012e-13
2.037452501 7.366936049061466e-13
2.039060593 8.7300331305925e-13
2.040668685 1.0566282718153457e-12
2.042276777 5.454142664324296e-13
2.0438848689999998 3.4452598880318686e-13
2.045492961 3.880557257608557e-13
2.047101053 6.190251450398307e-13
2.0487091449999997 6.113699624061684e-13
2.0503172370000002 5.526673865949277e-13
2.0519253290000004 6.422824008388396e-13
2.053533421 9.531516699105483e-13
2.055141513 8.566335059409145e-13
2.056749605 1.0140702868027765e-12
2.058357697 1.3870751635924942e-12
2.059965788 1.5343991966313122e-12
2.06157388 1.5069222164145311e-12
2.0631819719999998 1.496794811690553e-12
2.064790064 1.1747088135343093e-12
2.066398156 7.821202319412298e-13
2.068006248 5.876902736728315e-13
2.06961434 7.844639142754612e-13
2.071222432 1.5724490942464127e-12
2.072830524 1.420027873275883e-12
2.074438616 1.6093305223208235e-12
2.076046708 2.4113318677809305e-12
2.0776548 2.896544713171536e-12
2.079262892 1.5992484358993053e-12
2.080870984 1.353085196483086e-12
2.0824790760000003 2.143395367245914e-12
2.084087168 3.6451912727504085e-12
2.08569526 4.731452258687258e-12
2.0873033519999997 8.914821917064749e-12
2.088911444 9.970734501732857e-12
2.090519536 1.2320568166642201e-11
2.092127627 1.5387476055833316e-11
2.0937357189999997 2.1208095665824684e-11
2.0953438110000002 1.6623786522062595e-11
2.0969519030000003 1.4901024887759445e-11
2.098559995 2.056981324463674e-11
2.100168087 3.6232577587786435e-11
2.101776179 3.401594017880123e-11
2.103384271 2.9077770549080074e-11
2.104992363 2.035812123259106e-11
2.1066004549999997 1.9543813901982438e-11
2.1082085470000003 2.9306993663420755e-11
2.109816639 2.362856923274447e-11
2.111424731 1.3964929790431403e-11
2.113032823 1.2869097933212939e-11
2.114640915 5.267595134581168e-11
2.116249007 6.51995594963776e-11
2.1178570989999996 1.0663315658993862e-10
2.1194651909999997 2.8602310448103318e-11
2.1210732830000003 2.615748962627077e-11
2.122681375 4.727345945010247e-11
2.124289466 8.809088471827568e-11
2.125897558 8.263666765744763e-11
2.1275056500000002 5.979877207069448e-11
2.129113742 4.715352066130451e-11
2.130721834 4.6215706472615924e-11
2.1323299259999997 5.775165457824139e-11
2.133938018 3.764157809455262e-11
2.1355461100000004 3.319805762383957e-11
2.137154202 3.435155197302658e-11
2.138762294 5.271247920776398e-11
2.140370386 6.109975257775151e-11
2.141978478 7.388496024773922e-11
2.14358657 6.310653493410083e-11
2.1451946619999998 5.043771505436553e-11
2.146802754 4.414475546817885e-11
2.1484108460000004 4.4765991140710205e-11
2.150018938 5.117818182002889e-11
2.15162703 4.396195315323551e-11
2.153235122 4.793723585341884e-11
2.154843214 5.378987368209309e-11
2.156451305 7.610754971118839e-11
2.158059397 5.7105760113960135e-11
2.159667489 4.9516984238685555e-11
2.161275581 5.140591961830158e-11
2.1628836729999996 6.301687482369759e-11
